Title,location,Job Description,Compensation,Employment Type,URL
Best Amazon Web services (AWS) certification training Marathahalli, (Bangalore),"
        
Upshot Amazon Web Services (AWS), Institute for Certification Courses in BTM, Marathahalli, Bangalore provided hands on training for Students and supported for certification and job.Amazon Web Services, Training Institute Centre for Certification Courses in BTM, Marathahalli also provide Hebbal, Electronic City, Bangalore. Upshot offers best Amazon Web Services Training Institute for Certification Courses in BTM, Marathahalli, Bangalore with most experienced professionals. Our Instructors are working in Amazon Web Services and Cloud Computing related technologies for more years in MNC's. We aware of industry needs and we are offering Amazon Web Services and Cloud Computing Training Institute for Certification Courses in BTM, Marathahalli, Bangalore in more practical way.  

For more information visit:  

https://www.upshottechnologies.in/amazon-web-services-aws-training-in-bangalore 

aws course in Marathahalli 

aws training center in Marathahalli 

amazon web services training institutes in Marathahalli 

aws training in marathahalli 

aws certification in marathahalli 

best aws training in marathahalli 

    ","Upshot Amazon Web Services (AWS), Institute for Certification Courses in BTM, Marathahalli, Bangalore",full-time,https://bangalore.craigslist.org/edu/d/best-amazon-web-services-aws/6780902035.html
Golden Opportunity For DayShift," (Koramangala, Bangalore)","
        
HI, Everyone My name is SHAFFI KHAN,Associate HR at Quess. We 're excited about our upcoming recruiting drives and we 'd like to invite you to apply for any of our Customer Service positions and avail this opportunity to make your career in reputed companies . International BPO / E-commerce hiring Only Experience Candidate for Both International & Domestic Process. Please find the details : We are looking UG/GRAD /PG , Experience / Fresher CANDIDATES. 6 Months To 4 years Of Experience. Cab is provided both ways. 5 Days working. Any 2 days off in a week. Salary - 2L to 4.5Lacs Plus incentives. Candidates should be fluent in English and Hindi. And Shift starts at 8 AM in the morning and the last logout will be 1 AM in the night Any 9hrs Interested candidates Can Contact Shaffi Khan - 
 for Further Details. 

INTERNATIONAL MNC COMPANIES : JP Morgan Chase / Axis Bank / HSBC /Accenture /Infosys Bpo / Convergys /Syrow Infotech /HGS international/ First Source /Mphasis / Concentric Ethisalat Process/HP /HCL /Loyd 's Bank /SCOPE INTERNATIONAL /AMEX/ Cognizant /Agies International / Concentric Apple IOS Process / ITunes Process / Zenpower & Many More.

E-Commerce Companies :Agies Flipkart Process / Intelenet Flipkart Process /Zenify /Nestaway / HGS Domestic / Myntra.com /Flipkart / Amazon /Babajobs /BlackBug /Quikr.com / Just Dial / Deeksha.com / Sulekha.com /No Broker. Com /Swiggy.com/ Licious /Treebo Hotels /House Joy /CureFit /Urban Pro & Many More Companies.    ",4.5L,full-time,https://bangalore.craigslist.org/csr/d/golden-opportunity-for-dayshift/6781635575.html
"Best iOS Training in Marathahalli, Bangalore at upshot", (Bangalore),"
        
Upshot offers iOS Training in BTM, Marathahalli Bangalore in which we give training in iOS/iPhone App. development training in BTM, Marathahalli Bangalore. Upshot is a leading iOS App development training institute in BTM, Marathahalli Bangalore. We provide most learning environment for iOS training course in BTM, Marathahalli Bangalore at reasonable price. Upshot is one of the best ios training institute in BTM, Marathahalli Bangalore which offers the best technical IT training for the IT courses. We provide basic and advanced level  iOS  Training in BTM, Marathahalli Bangalore with proper practically knowledge. 

ios training in marathahalli 
For more information visit:  

https://www.upshottechnologies.in/mobile-app-ios-applications-development-training-in-bangalore 

 


 

    ","Upshot offers iOS Training in BTM, Marathahalli Bangalore in which we give training in iOS/iPhone App. development training in BTM, Marathahalli Bangalore.",full-time,https://bangalore.craigslist.org/edu/d/best-ios-training-in-marathahalli/6782440475.html
"Web Developer (Node.js, MongoDB) for a Social Network Startup", (Bangalore),"
        
We're building a platform which sews together all sides of a person; a social network that presents all your stories and interests, the multi-you to your friends and everyone else beautifully.

Your experience working here would be nothing like what you've witnessed before; the sort that will get published and documented when this succeeds. Yes, it's not a question of 'if' but 'when'.  Your name will be attached to it. There won't be any managers to manage you, no processes to go through. From taking decisions to implementing them and seeing it go live, you will be doing it all.

You'll be a part of a great team of developers.

You will build something from nothing, something meaningful, something huge, you will be solving a problem.

You can choose to be the one who is making something great. And if you choose right, this is going to be the best thing that has ever happened to you.

We understand that you'll be working on this apart from your regular job.

PS: When Facebook went public it made its first 100 employees overnight millionaires.    ","We're unfunded. We can't offer you a salary right now. What we can't offer you in salary, we offer you in the possibility of making a fortune and keeping your dreams alive.",part-time,https://bangalore.craigslist.org/web/d/web-developer-nodejs-mongodb-for-social/6781816511.html
free part time job without any investment, (anywhere),"
        
Are u looking for a job but dont want to invest and tired of spam jobs?? here's the solution we are providing free home based part time job, through data entry you can earn 60-180 rs per page and upto 30000 every month. we also have daily payment checkouts. 


www.parttimefreejobs.com    ",10000-30000,part-time,https://bangalore.craigslist.org/wri/d/free-part-time-job-without-any/6782439704.html
internet of things (IoT) training course  in BTM  Bangalore  by Upshot, (Bangalore),"
        
Upshot is the best Training Institute offers certification oriented IoT Training Course  in BTM, Marathahalli  Bangalore. Our participants will be eligible to clear all type of interviews at end of our sessions. We are building a team of IoT trainers and participants for their future help and assistance in subject. Upshot also provide their  service around Hebbal Electronic City. Our training will be focused on assisting in placements as well.Recently we received many queries from our readers on information for training around ""Internet of Things (IoT)"" 

For more information please visit  

https://www.upshottechnologies.in/internet-of-things-iot-training/ 

 

iot courses in BTM 

internet of things training course in BTM 

internet of things course in BTM    ","Upshot is the best Training Institute offers certification oriented IoT Training Course  in BTM, Marathahalli  Bangalore.",full-time,https://bangalore.craigslist.org/edu/d/internet-of-things-iot-training-course/6782451247.html
Assistant to Real Estate Office, (Lakewood Township),"
        
Busy real estate office

Team Player

Follow up on leads

Send Contracts

Create sales    ",$ 4 per hour,full-time,https://bangalore.craigslist.org/rej/d/assistant-to-real-estate-office/6774438382.html
Android App Development Company in pune - Midbrains technologies," (dange chauk , pune)","
        
Midbrains technologies is the android app development compony in pune. offering software, web development and SEO services for our clients around the world. Android software development is the process by which new applications are created for devices running the Android operating system.""

    ","""MIDBRAINS Technologies is the best a web design & development compony in pune. According to emporium website design means not just website look good but also provide the best user experience to design interactive website simple and user-friendly.""",full-time,https://bangalore.craigslist.org/sof/d/android-app-development-company-in-pune/6774458019.html
BPO Non Voice Process /  Voice Process, (kengeri satellite town),"
        

Jobs offered

We currently have a requirement for a Inbound/outbound Voice, non voice, semi voice process for International and domestic BPO. We Need candidate who can speak excellent fluent English for international process and Average English with Hindi south Indian Language for domestic process

Base Location: Bangalore

REQUIREMENTS:
*We hire inbound process for international voice process, for Graduates /Under graduates Fresher and Experience up to 5 years with salary package up to 30k + Good Incentives with 5 days of working and 2 days of fixed off and 2 Way cab.
*We hire Top International ITES Companies for US,UK, Day Shift.
*We also have opening for Customer support and SR Customer support (Voice process/ Non Voice )
*Clarity in speech and fluency in communication in English
*Presentable and willingness to work in night shift and Five/Six days working 
*Should be able to serve customers. 
*In case you are not interested or available at present, I will appreciate if you can forward this mail to your friends/colleagues whom you think will be interested to take up this position.
*Salary: INR 80,000 - 3.5 LPA.

Contact mobile-  
 *By-SKGADE3
17-12-2018


    ",10000-150000,full-time,https://bangalore.craigslist.org/acc/d/bpo-non-voice-process-voice-process/6774440470.html
Website designing company in pune - Midbrains technologies," (dange chauk , pune)","
        
""Midbrains technologies is the website design company in pune. We Provide best responsive Static Website mobile, ready design of your website which fit in desktops, tablets & phones. Responsive Static web design use only HTML & CSS.""
    ","""MIDBRAINS Technologies is the best a web design & development compony in pune. According to emporium website design means not just website look good but also provide the best user experience to design interactive website simple and user-friendly.""",full-time,https://bangalore.craigslist.org/web/d/website-designing-company-in-pune/6774460386.html
Eminent Minds is Hiring for  HR Recruiter, (kengeri satellite town),"
        
* Responsible for End to End Recruitment of IT & non IT profile.
* Knowledge of Job Portals, Job Posting, Advertisement through Social Media
* Daily Follow-Up, Line-Up, Mass Hiring, Candidate will be responsible for lining up candidates for open positions
* Responsible for on boarding & Induction.
* Develop and monitor sourcing plans.
* Head hunting, Searching CV's from Job portals & generating references
* Creating & maintaining Data base.
JOB SPECIFICATION: 
* Fluent English Communication Skills.
* Qualification Required: Any
* Preferred female candidate.
* Looking for Immediate joiners. 

Contact mobile-  
 *By-SKGADE2

17-12-2018 

    ",8000-20000,full-time,https://bangalore.craigslist.org/hum/d/eminent-minds-is-hiring-for-hr-recruiter/6774452991.html
We are Hiring - Earn Rs.15000/- Per month - Simple Copy Paste Jobs, (BANGALORE),"
        
Earn Rs.25000/- per month - Simple online Jobs - Are You Looking for Home-Based Online Jobs? - Are You a Student, Housewife, jobseeker ? - Are you ready to Work 1 to 2 Hours daily Online? - Do You need Guaranteed Payment Monthly? Then this is for You, - Clicking on their Advertisement E-mails. - Submitting their Data's online. - Reading their Advertisement Sms. - Filling Forms on their websites, etc,. FREE to Join >> http://dailyonlinejobs.com 
DPJ1803843    ",15000,part-time,https://bangalore.craigslist.org/lgl/d/we-are-hiring-earn-rs15000-per-month/6774484192.html
Eminent Minds is Hiring for  HR Recruiter, (kengari satalite town),"
        
* Responsible for End to End Recruitment of IT & non IT profile.
* Knowledge of Job Portals, Job Posting, Advertisement through Social Media
* Daily Follow-Up, Line-Up, Mass Hiring, Candidate will be responsible for lining up candidates for open positions
* Responsible for on boarding & Induction.
* Develop and monitor sourcing plans.
* Head hunting, Searching CV's from Job portals & generating references
* Creating & maintaining Data base.

JOB SPECIFICATION: 

* Fluent English Communication Skills.
* Qualification Required: Any
* Preferred female candidate.
* Looking for Immediate joiners. 

Contact mobile- 998602424six *By-SKGADE
17-12-2018
    ",8000-20000,full-time,https://bangalore.craigslist.org/hum/d/eminent-minds-is-hiring-for-hr-recruiter/6774484157.html
We are hiring for Voice Process, (kengari satalite town),"
        
We currently have a requirement for a Inbound/outbound Voice, non voice, semi voice process for International and domestic BPO. We Need candidate who can speak excellent fluent English for international process and Average English with Hindi south Indian Language for domestic process

Base Location: Bangalore

REQUIREMENTS:
*We hire inbound process for international voice process, for Graduates /Under graduates Fresher and Experience upto 5 years with salary package up to 30k + Good Incentives with 5 days of working and 2 days of fixed off and 2 Way cab.
*We hire Top International ITES Companies for US,UK, Day Shift.
*We also have opening for Customer support and SR Customer support (Voice process/ Non Voice )
*Clarity in speech and fluency in communication in English
*Presentable and willingness to work in night shift and Five/Six days working 
*Should be able to serve customers. 
*In case you are not interested or available at present, I will appreciate if you can forward this mail to your friends/colleagues whom you think will be interested to take up this position.
*Salary: INR 80,000 - 3.5 LPA.

Contact mobile-  
 *By-SKGADE3
DD-MM-YY
    ",80000-3.5 LPA.,full-time,https://bangalore.craigslist.org/csr/d/we-are-hiring-for-voice-process/6774485308.html
Looking for an Android developer, (Bangalore),"
        
Looking for an Android developer with experience on working on social networking apps.

Prefer someone that is passionate about developing the NEXT BIG App, rather than just crunching code.

Our organization has a clear vision & is looking out for people that are driven to get things done!    ",Will be discussed based on what value Developer brings to the table,employee's choice,https://bangalore.craigslist.org/sof/d/looking-for-an-android-developer/6774493788.html
Work for just 2-3 hours as part timer to earn 3000 weekly," (Bengaluru,karnataka,india)","
        
Dear Candidate, 
We are looking for: Part-time and Full-time Customer Support 
individuals to help us in building good customer relationship & 
provide better services to them. 
We need friendly male/female candidates who have basic information of 
computer, passionate & willing to be successful with us. Attractive 
Weekly perks and rewards for outstanding performance achiever. 
You may continue with
your regular job & still work with us. Typing work, Ad posting work                  
No 
targets, no work pressure. Your efforts & your income! 
For details
Visit: www.corpbaysolutions.com    ",4000 weekly,part-time,https://bangalore.craigslist.org/wri/d/work-for-just-2-3-hours-as-part-timer/6774621425.html
Branding/Marketing Expert! SEO/Google Rankings, (Mumbai),"
        

Seeking an experienced on-site SEO specialist to spearhead our SEO/SEM efforts.
In this role, you are a roll-up your sleeves, ""hands-on"" SEO professional. With the input of others, you will develop and implement strategic plans to improve our search engine ranking. Using analytics and conversion metrics, you will track and report on progress towards achieving those goals. 
 
Grow organic and paid traffic through comprehensive analysis, strategic ideation, content optimization, and timely-yet-thorough analytics tracking and reporting. 
·         A strong understanding of all SEO best practices such as SEO ""friendly"" site architecture, tags, coding, site speed optimization, link building, and more
·         Proficiency in HTML/CSS
·         Excellent time management skills with ability to meet strict deadlines
·         Basic knowledge of web copywriting and graphic design and how they relate to SEO functionality
·         Strong analytical and critical thinking skills
·         Local and Global Rankings
·         Google Rankings
·         Up to date knowledge on new technologies and desire to stay current
·         Perform Audits
·         All images Tags
·         Meta Tags
·         Improve Product Description
·         Improve Content Writing
·         Create Blogs and Articles
 
 
MORE INFORMATION
Looking for expert to join our team!

Our search engine optimization (SEO) team is a group of highly specialized experts who know how to drive traffic and revenue online. We work with Google AdWords, Bing AdCenter, organic search, PPC, SEM, conversion optimization, online marketing, digital marketing, social media management, email marketing, etc. This position will include skills and roles related to search engine optimization specialist, search engine optimization techniques, search engine optimization consultant, search engine optimization training, sem, search engine, online marketing, internet marketing, majestic SEO, SEO services, SEO tools, and web marketing.


    ",Negotiable,full-time,https://bangalore.craigslist.org/web/d/branding-marketing-expert-seo-google/6775196088.html
"Find Salesforce Developer Training in BTM, Marathahalli Bangalore", (bangalore),"
        
Salesforce developer training institute in BTM, Marathahalli Bangalore. Salesforce course provides expert insight into the basic and advanced techniques in salesforce and Customer relationship management. The salesforce developer comes with Admin 201 and Dev 401 in a single course, enabling the candidates to develop business application in Salesforce. For business professionals, Salesforce will increase the sales productivity by great margin, higher than the regular. Upshot technologies is the one Best Salesforce developer training institute in BTM, Marathahalli and also providing service in Hebbal, Electronic city Bangalore which is the right place for learning the course, due to the expertise. 

https://www.upshottechnologies.in/salesforce-developer-training-in-bangalore    ","Best Salesforce developer training institute in BTM, Marathahalli and also providing service in Hebbal, Electronic city Bangalore",full-time,https://bangalore.craigslist.org/csr/d/find-salesforce-developer-training-in/6774695991.html
Branding/Marketing Expert! SEO/Google Rankings, (Bengaluru),"
        
Seeking an experienced on-site SEO specialist to spearhead our SEO/SEM efforts.
In this role, you are a roll-up your sleeves, ""hands-on"" SEO professional. With the input of others, you will develop and implement strategic plans to improve our search engine ranking. Using analytics and conversion metrics, you will track and report on progress towards achieving those goals. 
 
Grow organic and paid traffic through comprehensive analysis, strategic ideation, content optimization, and timely-yet-thorough analytics tracking and reporting. 
·         A strong understanding of all SEO best practices such as SEO ""friendly"" site architecture, tags, coding, site speed optimization, link building, and more
·         Proficiency in HTML/CSS
·         Excellent time management skills with ability to meet strict deadlines
·         Basic knowledge of web copywriting and graphic design and how they relate to SEO functionality
·         Strong analytical and critical thinking skills
·         Local and Global Rankings
·         Google Rankings
·         Up to date knowledge on new technologies and desire to stay current
·         Perform Audits
·         All images Tags
·         Meta Tags
·         Improve Product Description
·         Improve Content Writing
·         Create Blogs and Articles
 
 
MORE INFORMATION
Looking for expert to join our team!

Our search engine optimization (SEO) team is a group of highly specialized experts who know how to drive traffic and revenue online. We work with Google AdWords, Bing AdCenter, organic search, PPC, SEM, conversion optimization, online marketing, digital marketing, social media management, email marketing, etc. This position will include skills and roles related to search engine optimization specialist, search engine optimization techniques, search engine optimization consultant, search engine optimization training, sem, search engine, online marketing, internet marketing, majestic SEO, SEO services, SEO tools, and web marketing.



    ",Negotiable,full-time,https://bangalore.craigslist.org/mar/d/branding-marketing-expert-seo-google/6775195081.html
Social Media/Marketing Expert! SEO/Google Rankings, (Mumbai),"
        

Seeking an experienced on-site SEO specialist to spearhead our SEO/SEM efforts.
In this role, you are a roll-up your sleeves, ""hands-on"" SEO professional. With the input of others, you will develop and implement strategic plans to improve our search engine ranking. Using analytics and conversion metrics, you will track and report on progress towards achieving those goals. 
 
Grow organic and paid traffic through comprehensive analysis, strategic ideation, content optimization, and timely-yet-thorough analytics tracking and reporting. 
·         A strong understanding of all SEO best practices such as SEO ""friendly"" site architecture, tags, coding, site speed optimization, link building, and more
·         Proficiency in HTML/CSS
·         Excellent time management skills with ability to meet strict deadlines
·         Basic knowledge of web copywriting and graphic design and how they relate to SEO functionality
·         Strong analytical and critical thinking skills
·         Local and Global Rankings
·         Google Rankings
·         Up to date knowledge on new technologies and desire to stay current
·         Perform Audits
·         All images Tags
·         Meta Tags
·         Improve Product Description
·         Improve Content Writing
·         Create Blogs and Articles
 
 
MORE INFORMATION
Looking for expert to join our team!

Our search engine optimization (SEO) team is a group of highly specialized experts who know how to drive traffic and revenue online. We work with Google AdWords, Bing AdCenter, organic search, PPC, SEM, conversion optimization, online marketing, digital marketing, social media management, email marketing, etc. This position will include skills and roles related to search engine optimization specialist, search engine optimization techniques, search engine optimization consultant, search engine optimization training, sem, search engine, online marketing, internet marketing, majestic SEO, SEO services, SEO tools, and web marketing.


    ",Negotiable,full-time,https://bangalore.craigslist.org/web/d/social-media-marketing-expert-seo/6775196398.html
BPO Non Voice Process /  Voice Process, (kengeri satellite town),"
        

Jobs offered

We currently have a requirement for a Inbound/outbound Voice, non voice, semi voice process for International and domestic BPO. We Need candidate who can speak excellent fluent English for international process and Average English with Hindi south Indian Language for domestic process

Base Location: Bangalore

REQUIREMENTS:
*We hire inbound process for international voice process, for Graduates /Under graduates Fresher and Experience up to 5 years with salary package up to 30k + Good Incentives with 5 days of working and 2 days of fixed off and 2 Way cab.
*We hire Top International ITES Companies for US,UK, Day Shift.
*We also have opening for Customer support and SR Customer support (Voice process/ Non Voice )
*Clarity in speech and fluency in communication in English
*Presentable and willingness to work in night shift and Five/Six days working 
*Should be able to serve customers. 
*In case you are not interested or available at present, I will appreciate if you can forward this mail to your friends/colleagues whom you think will be interested to take up this position.
*Salary: INR 80,000 - 3.5 LPA.

Contact mobile-  
 *By-SKGADE3
18-12-2018


    ",80000 - 3.5lpa,full-time,https://bangalore.craigslist.org/hum/d/bpo-non-voice-process-voice-process/6775280816.html
Eminent Minds is Hiring for  HR Recruiter, (kengeri satellite town),"
        

* Responsible for End to End Recruitment of IT & non IT profile.
* Knowledge of Job Portals, Job Posting, Advertisement through Social Media
* Daily Follow-Up, Line-Up, Mass Hiring, Candidate will be responsible for lining up candidates for open positions
* Responsible for on boarding & Induction.
* Develop and monitor sourcing plans.
* Head hunting, Searching CV's from Job portals & generating references
* Creating & maintaining Data base.
JOB SPECIFICATION: 
* Fluent English Communication Skills.
* Qualification Required: Any
* Preferred female candidate.
* Looking for Immediate joiners. 

Contact mobile-  
 *By-SKGADE2

18-12-2018 


    ",80000 - 3.5lpa,full-time,https://bangalore.craigslist.org/ofc/d/eminent-minds-is-hiring-for-hr-recruiter/6775279989.html
IT jobs with training | Internships | Projects, (coimbatore),"
        
IT jobs with training | Internships | Projects

Internships are important because they provide insight into real-world employment settings which can help to define career goals. They also enable students and young professionals to develop soft-skills which are essential for employability.

EVOLET  is one of the most recommended IT Training Institute in Coimbatore that offers hands on practical knowledge / practical implementation on live projects and will ensure the job with the help of advance level IT Training Courses. At EVOLET IT in Coimbatore is conducted by specialist working certified corporate professionals having 8+ years of experience in implementing real-time projects.

IT jobs with training | Internships | Projects

Interested please do contact for further details at  


Freshers and experienced    ",15000,full-time,https://bangalore.craigslist.org/sof/d/it-jobs-with-training-internships/6775302131.html
Looking for PHP Developer | job assured Training in coimbatore, (coimbatore),"
        
Looking for PHP Developer | job assured Training in coimbatore

PHP is widely used sever side scripting language. MySQL is widely used database system which is used with PHP to create web applications. Due to rapid growth in web technologies, PHP Developers has many job oppurtunities in India and Abroad
This training will help you get started with the language in no time.

We will cover installing a web server, PHP, and the MySQL database server and with laravel framework.

Looking for PHP Developer | job assured Training in coimbatore

PHP Development Suite is comprehensive and is suited for both beginners as well as advanced learners.

PHP Development Suite is best suited for web developers, software engineers, system engineers, mobile app developers, freelancers and anyone looking build powerful websites with PHP.

This training program entails the fundamentals of PHP and equips the candidate with advanced PHP.

Any graduate can apply

We also provide Internships and Final Year Projects with Discounts!!!

Interested ping me at  


Looking for PHP Developer | job assured Training in coimbatore

Job Type: Full-time    ",15000,full-time,https://bangalore.craigslist.org/sof/d/looking-for-php-developer-job-assured/6775305996.html
Python Development job/internship, (Coimbatore),"
        
About the Internship:

Selected intern's day-to-day responsibilities include:

1. Working on Django (a Python Framwork) on features like REST APIs, models, cron scripts, analytics.

2. Writing automated test cases using Python Test suite.

3. Working with people from several countries, across time zones

4. Writing well-documented maintainable code

Only those candidates can apply who:

• are available for the full time job/internship
• can start the full time job/internship 
• are available for duration of 2 months
• have relevant skills and interests
• are Computer Science Engineering students
• * Women willing to start/restart their career can also apply.

Other perks:
Certificate

Skills required:
Python (Learn Python) and Django    ",000,full-time,https://bangalore.craigslist.org/edu/d/python-development-job-internship/6775314639.html
